"source","target","context"
"eBalance Settings","eBalance Тохиргоо",""
"Connection","Холболт",""
"Environment","Орчин",""
"Staging = Test environment (st-inspector-ebalance.mof.gov.mn), Production = Live environment (inspector-ebalance.mof.gov.mn)","Staging = Туршилтын орчин (st-inspector-ebalance.mof.gov.mn), Production = Бодит орчин (inspector-ebalance.mof.gov.mn)",""
"Enable eBalance integration. If disabled, no API calls will be made.","eBalance интеграцийг идэвхжүүлэх. Унтраавал API дуудлага хийхгүй.",""
"Enabled","Идэвхтэй",""
"Authentication (ITC OAuth2)","Нэвтрэлт (ITC OAuth2)",""
"Auth URL","Нэвтрэлтийн URL",""
"ITC OAuth2 Server URL","ITC OAuth2 Серверийн URL",""
"Username","Хэрэглэгчийн нэр",""
"ITC SSO username (e.g., AA10010110). Login name provided by Ministry of Finance for eBalance system.","ITC SSO хэрэглэгчийн нэр (жишээ нь: АА10010110). Сангийн яамнаас олгосон eBalance системд нэвтрэх нэр.",""
"Password","Нууц үг",""
"ITC SSO password. Stored encrypted in Frappe system.","ITC SSO нууц үг. Frappe системд шифрлэгдсэн хэлбэрээр хадгалагдана.",""
"Organization RegNo","Байгууллагын регистр",""
"Organization registration number (7-digit number, e.g., 1234567). TIN registration number.","Байгууллагын регистрийн дугаар (7 оронтой тоо, жишээ нь: 1234567). ТҮЦ-ийн бүртгэлийн дугаар.",""
"User RegNo","Хэрэглэгчийн регистр",""
"User registration number. Auto-filled from Username if empty.","Хэрэглэгчийн регистрийн дугаар. Хоосон үед Username-аас автоматаар авна.",""
"User Role ID","Хэрэглэгчийн эрхийн ID",""
"User role ID automatically retrieved from eBalance API. Updated when Test Connection is clicked.","eBalance API-аас автоматаар авсан хэрэглэгчийн эрхийн ID. Test Connection дарахад шинэчлэгдэнэ.",""
"API Connection","API Холболт",""
"API URL","API URL",""
"Auto-set based on environment","Орчноос хамааран автоматаар тохируулагдана",""
"Test Connection","Холболт шалгах",""
"Connection Status","Холболтын төлөв",""
"Company Settings","Компанийн тохиргоо",""
"Company","Компани",""
"ERPNext company. Financial reports will be generated from this company's GL Entries.","ERPNext-ийн компани. Санхүүгийн тайланг энэ компанийн GL Entry-ээс үүсгэнэ.",""
"Default Fiscal Year","Үндсэн санхүүгийн жил",""
